Plant,WS2M,RH2M,T2M,TSOIL1,TSOIL4,PRECTOTCORR,GWETROOT,GWETTOP,ALLSKY_SFC_SW_DWN
Mango,1.0-2.5,60-70,25-35,25-28,23-25,700-900,0.6-0.8,0.8-1.0,5.5-7.0
Tomato,1.5-4.0,60-70,20-30,20-25,18-20,300-500,0.4-0.6,0.6-0.8,6.0-8.0
Potato,1.0-3.0,65-75,15-20,15-18,13-15,400-600,0.3-0.5,0.5-0.7,6.5-7.5
Onion,1.0-3.0,50-60,18-25,18-20,16-18,350-450,0.2-0.4,0.4-0.6,7.0-8.5
Cucumber,1.0-2.5,70-80,25-30,23-25,21-23,500-700,0.5-0.7,0.7-0.9,5.5-7.0
Orange,1.0-3.0,65-75,20-25,20-22,18-20,600-800,0.4-0.6,0.6-0.8,6.0-7.5
Date Palm,1.0-2.5,30-50,25-40,25-30,23-25,100-200,0.1-0.3,0.3-0.5,8.5-9.5
Wheat,2.0-4.0,50-60,15-20,15-18,13-15,200-400,0.3-0.5,0.5-0.7,7.5-8.5
Rice,0.5-1.5,75-85,28-35,28-30,26-28,1000-1500,0.6-0.8,0.8-1.0,5.0-6.0
Maize,2.0-4.0,60-70,25-35,25-28,23-25,500-800,0.4-0.6,0.6-0.8,7.0-9.0
Eggplant,1.5-3.0,65-75,25-32,24-26,22-24,600-800,0.5-0.7,0.7-0.9,6.5-8.0
Grape,1.0-2.5,50-60,20-30,20-22,18-20,400-600,0.3-0.5,0.5-0.7,8.0-9.0
Lemon,1.0-2.0,70-80,20-30,20-22,18-20,600-800,0.5-0.7,0.7-0.9,6.0-7.5
Olive,1.5-3.0,40-50,15-25,18-20,16-18,300-500,0.2-0.4,0.4-0.6,7.5-8.5
Barley,2.0-4.0,45-55,10-20,12-15,10-12,200-400,0.2-0.4,0.4-0.6,8.0-9.0
Banana,0.5-1.5,75-85,25-35,26-28,24-26,1200-1500,0.7-0.9,0.9-1.1,5.0-6.5
Sorghum,2.5-4.5,50-60,25-35,22-25,20-22,500-700,0.4-0.6,0.6-0.8,7.5-8.5
Lentil,1.5-3.0,50-60,10-20,15-18,13-15,300-500,0.2-0.4,0.4-0.6,7.5-8.5
Bell Pepper,1.5-3.0,65-75,22-30,22-24,20-22,500-700,0.4-0.6,0.6-0.8,6.5-8.0
Carrot,1.0-2.0,55-65,10-20,15-17,13-15,250-400,0.2-0.4,0.4-0.6,8.0-9.0
Lettuce,0.5-1.5,70-80,12-18,12-15,10-12,200-350,0.3-0.5,0.5-0.7,7.0-8.5
Okra,2.0-3.5,65-75,25-35,24-26,22-24,700-900,0.5-0.7,0.7-0.9,6.5-8.0
Squash,1.5-3.0,60-70,20-30,22-24,20-22,500-700,0.4-0.6,0.6-0.8,7.0-8.5
Pomegranate,1.0-2.5,50-60,18-28,20-22,18-20,400-600,0.3-0.5,0.5-0.7,7.5-8.5
Guava,1.5-3.0,70-80,25-35,24-26,22-24,900-1100,0.6-0.8,0.8-1.0,5.5-7.0
Peach,1.0-2.5,60-70,15-25,18-20,16-18,500-700,0.4-0.6,0.6-0.8,7.0-8.5
Fava Bean,1.5-3.0,50-60,10-18,12-15,10-12,300-500,0.2-0.4,0.4-0.6,7.5-8.5
Chickpea,1.0-2.5,45-55,12-20,15-17,13-15,250-400,0.2-0.4,0.4-0.6,8.0-9.0
